variable name,data type,register,documented name,unit,values,note
,,1,Grid Voltage,V,,
,,2,UPS Voltage,V,,
,,3,Generator Voltage,V,,
,,4,Grid L1 voltage ,V,,
,,5,Grid L2 voltage ,V,,
,,6,UPS L1 voltage ,V,,
,,7,UPS L2 voltage ,V,,
,,8,Generator L1 voltage,V,,
,,9,Generator L2 voltage ,V,,
,,10,Grid L1 current ,A,,
,,11,Grid L2 current ,A,,
,,12,Load L1 current ,V,,
,,13,Load L2 current ,A,,
,,14,Generator L1 current ,A,,
,,15,Generator L2 current ,A,,
,,16,UPS L1 current ,A,,
,,17,UPS L2 current ,A,,
,,18,Smart Load 1 L1 current ,A,,
,,19,Smart Load 1 L2 current ,A,,
,,20,Smart Load 2 L1 current ,A,,
,,21,Smart Load 2 L2 current ,A,,
,,22,Smart Load 3 L1 current ,A,,
,,23,Smart Load 3 L2 current ,A,,
,,24,Smart Load 4 L1 current ,A,,
,,25,Smart Load 4 L2 current ,A,,
,,26,Grid L1 active power ,W,,
,,27,Grid L2 active power ,W,,
,,28,Load L1 active power ,W,,
,,29,Load L2 active power ,W,,
,,30,Generator L1 active power ,W,,
,,31,Generator L2 active power ,W,,
,,32,UPS L1 active power ,W,,
,,33,UPS L2 active power ,W,,
,,34,Smart Load 1 L1 active power ,W,,
,,35,Smart Load 1 L2 active power ,W,,
,,36,Smart Load 2 L1 active power ,W,,
,,37,Smart Load 2 L2 active power ,W,,
,,38,Smart Load 3 L1 active power ,W,,
,,39,Smart Load 3 L2 active power,W,,
,,40,Smart Load 4 L1 active power,W,,
,,41,Smart Load 4 L2 active power ,W,,
,,42,Load energy today L1 ,kWH,,
,,43,Load energy today L2 ,kWH,,
,,44,UPS energy today L1 ,kWH,,
,,45,UPS energy today L2 ,kWH,,
,,46,Energy to grid today ,kWH,,
,,,,,,
,,48,Energy to user today L1 ,kWH,,
,,49,Energy Generator Today,kWH,,
,,50,Smart Load 1 energy today L1 ,kWH,,
,,51,Smart Load 1 energy today L2 ,kWH,,
,,52,Smart Load 2 energy today L1 ,kWH,,
,,53,Smart Load 2 energy today L2 ,kWH,,
,,54,Smart Load 3 energy today L1,kWH,,
,,55,Smart Load 3 energy today L2 ,kWH,,
,,56,Smart Load 4 energy today L1 ,kWH,,
,,57,Smart Load 4 energy today L2 ,kWH,,
,,58,AC couple 1 energy today L1 ,kWH,,
,,59,AC couple 1 energy today L2 ,kWH,,
,,60,AC couple 2 energy today L1 ,kWH,,
,,61,AC couple 2 energy today L2 ,kWH,,
,,62,AC couple 3 energy today L1 ,kWH,,
,,63,AC couple 3 energy today L2 ,kWH,,
,,64,AC couple 4 energy today L1 ,kWH,,
,,65,AC couple 4 energy today L2 ,kWH,,
,,,,,,
,UINT,68,Total load energy L1 ,kWH,,
,UINT,70,Total load energy L2 ,kWH,,
,UINT,72,Total UPS energy L1 ,kWH,,
,UINT,74,Total UPS energy L2 ,kWH,,
,UINT,76,Total energy to grid L1 ,kWH,,
,UINT,78,Total energy to grid L2 ,kWH,,
,UINT,80,Total energy to user L1 ,kWH,,
,UINT,82,Total energy to user L2 ,kWH,,
,UINT,84,Total energy Generator L1 ,kWH,,
,UINT,86,Total energy Generator L2 ,kWH,,
,UINT,88,Total Smart Load 1 energy L1 ,kWH,,
,UINT,90,Total Smart Load 1 energy L2 ,kWH,,
,UINT,92,Total Smart Load 2 energy L1 ,kWH,,
,UINT,94,Total Smart Load 2 energy L2 ,kWH,,
,UINT,96,Total Smart Load 3 energy L1 ,kWH,,
,UINT,98,Total Smart Load 3 energy L2 ,kWH,,
,UINT,100,Total Smart Load 4 energy L1 ,kWH,,
,UINT,102,Total Smart Load 4 energy L2 ,kWH,,
,UINT,104,Total AC couple 1 energy L1 ,kWH,,
,UINT,106,Total AC couple 1 energy L2 ,kWH,,
,UINT,108,Total AC couple 2 energy L1 ,kWH,,
,UINT,110,Total AC couple 2 energy L2 ,kWH,,
,UINT,112,Total AC couple 3 energy L1 ,kWH,,
,UINT,114,Total AC couple 3 energy L2 ,kWH,,
,UINT,116,Total AC couple 4 energy L1 ,kWH,,
,UINT,118,Total AC couple 4 energy L2 ,kWH,,
,,,,,,
,,128,Phase lock frequency ,Hz,,
,,129,Grid frequency ,Hz,,
,,130,Generator frequency ,Hz,,
